ID,Title,Price,Brand,Rating,Reviews,Material,Color,AssemblyNeeded,MadeIn,Warranty Days,Image,Category/Class
22489746,Priage by Zinus Antique Espresso Wood Platform Bedby Zinus,374.24 EUR,Zinus,4.7,642,Wood,Brown,Yes,China,1825,https://ak1.ostkcdn.com/images/products/16107609/Priage-Deluxe-Solid-Wood-Platform-Bed-with-Headboard-Antique-Espresso-e062093d-de24-4ba4-be95-2a335425d7bc_600.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
33835710,The Gray Barn Magnolia Queen Bed in Washed Oakby The Gray Barn,279.41 EUR,The Gray Barn,3.8,133,Wood,No Info,No,Malaysia,0,https://ak1.ostkcdn.com/images/products/is/images/direct/b0921d0a7532327933de81ca4fb57c127c121724/The-Gray-Barn-Magnolia-Queen-Bed-in-Washed-Oak.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
40144493,Chester Upholstered Platform Bed,238.90 EUR,No Info,3.8,12,Upholstered,"Black,
Blue,
Grey",Yes,Malaysia,0,https://ak1.ostkcdn.com/images/products/is/images/direct/0f94701907cf9bae76975fbb6a91e6525a37b029/Chester-Upholstered-Platform-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
19787278,Baxton Studio Karpos Modern Upholstered Grid-tufting Panel Bedby Baxton Studio,186.88 EUR,Baxton Studio,4.5,760,Upholstered,"Beige,
Grey",Yes,Malaysia,0,https://ak1.ostkcdn.com/images/products/13048656/Baxton-Studio-Karpos-Modern-Upholstered-Grid-tufting-Bed-5b25b567-b67f-4595-ba6a-0189a7366c79_600.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
17611152,Grain Wood Furniture Solid Wood Loft Platform Bedby Grain Wood Furniture,515.47 EUR,Grain Wood Furniture,4.4,325,Wood,"Brown,
Cream,
Grey,
Silver,
Tan,
White",Yes,Brazil,90,https://ak1.ostkcdn.com/images/products/is/images/direct/13fa04a260e8b4f8302939fd2a9b57d8b704224d/Grain-Wood-Furniture-Solid-Wood-Loft-Platform-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
20487016,Middlebrook Designs Classic Metal Pipe Bedby Middlebrook Designs,456.19 EUR,Middlebrook Designs,4.7,624,Metal,"Gold,
White",Yes,China,90,https://ak1.ostkcdn.com/images/products/is/images/direct/c2e3e2c69ab5285cb4dc04e8b627dfa11854249a/Middlebrook-Designs-Classic-Metal-Pipe-Bed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
18496386,Baxton Studio Penelope Modern and Contemporary Beige or Grey Upholstered Twin Size Tufting Platform Bedby Baxton Studio,198.88 EUR,Baxton Studio,4.1,85,"Fabric,
Linen,
MDF,
Wood","Beige,
Grey",Yes,Malaysia,0,https://ak1.ostkcdn.com/images/products/11552112/Baxton-Studio-Penelope-Modern-and-Contemporary-Beige-or-Grey-Upholstered-Twin-Size-Tufting-Platform-Bed-c0782215-991d-4e24-ad76-6a514306371a_600.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
37010053,Priage by ZINUS Rustic Pine Deluxe Wood Platform Bed Frameby Zinus,318.99 EUR,Zinus,4.7,40,Wood,Brown,Yes,Vietnam,1825,https://ak1.ostkcdn.com/images/products/is/images/direct/b850fde12efa02d10814a6b9eca7187d0ccf92b3/Priage-by-ZINUS-Rustic-Pine-Deluxe-Wood-Platform-Bed-Frame.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
18538730,Kaleb Black Sand Finish Queen-over-Queen Bunk Bedby Acme,561.15 EUR,Acme,4.1,111,Metal,Black,Yes,China,0,https://ak1.ostkcdn.com/images/products/11600114/Kaleb-Black-Sand-Finish-Queen-Bunk-Bed-8990f6bc-568c-4686-9a38-faf0715d59ae_600.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
40109635,"Twin/Full/Queen Industrial Platform Bed Frame with Headboard, Mattress Base, No Box Spring Needed",156.81 EUR,No Info,4.5,13,Metal,"Black,
Brown,
Grey",Yes,China,1095,https://ak1.ostkcdn.com/images/products/is/images/direct/930a5cb374fb000f4304b02d968bdebaeb011ebd/Industrial-Platform-Bed-Frame-with-Headboard%2C-Mattress-Base%2C-No-Box-Spring-Needed.jpg,HomeItem/Furniture/BedroomFurniture/Bed/AdultBed
